id,hab_parameter,min_ge,max_lt,label,alert,symbol_size,symbol_colour,tl
2,alexandrium_sp,0,1.00E-05,0,NA,12,65365,0_green
2,alexandrium_sp,1,20,1-19,alert,12,65535,1_yellow
2,alexandrium_sp,21,40,20-39,alert,13,33023,2_orange
2,alexandrium_sp,41,1999,"40-1,999",alert,14,255,3_red
2,alexandrium_sp,2000,4999,"2,000-4,999",alert,17,255,3_red
2,alexandrium_sp,5000,19999,"5,000-19,999",alert,20,255,3_red
2,alexandrium_sp,20000,100000,">=20,000",alert,22,255,3_red
4,dinophysis_sp,0,1.00E-04,0,NA,12,65365,0_green
4,dinophysis_sp,1.00E-04,80,0-80,NA,12,65535,1_yellow
4,dinophysis_sp,80,100,80-100,warn,12,33023,2_orange
4,dinophysis_sp,100,400,100-400,alert,10,255,3_red
4,dinophysis_sp,400,1000,"400-1,000",alert,12,255,3_red
4,dinophysis_sp,1000,2000,"1,000-2,000",alert,14,255,3_red
4,dinophysis_sp,2000,5000,"2,000-5,000",alert,17,255,3_red
4,dinophysis_sp,5000,100000000,">=5,000",alert,20,255,3_red
1,karenia_mikimotoi,-99,-1.00E-06,Not Analyzed,NA,7,213277184,NA
1,karenia_mikimotoi,0,1.00E-05,0,NA,12,65408,0_green
1,karenia_mikimotoi,1.00E-05,2500,"0-2,500",alert,12,8454143,1_yellow
1,karenia_mikimotoi,2500,5000,"2,500-5,000",alert,11,33023,2_orange
1,karenia_mikimotoi,5000,20000,"5,000-20,000",alert,12,255,3_red
1,karenia_mikimotoi,20000,100000,"20,000-100,000",alert,14,255,3_red
1,karenia_mikimotoi,100000,500000,"100,000-500,000",alert,16,255,3_red
1,karenia_mikimotoi,500000,1000000,"500,000-1,000,000",alert,18,255,3_red
1,karenia_mikimotoi,1000000,3000000,"1,000,000-3,000,000",alert,20,255,3_red
1,karenia_mikimotoi,3000000,10000000,">=3,000,000",alert,23,255,3_red
10,prorocentrum_lima,0,0.999999,0,NA,12,65408,0_green
10,prorocentrum_lima,1,80,29221,NA,12,8454143,1_yellow
10,prorocentrum_lima,80,100,80-99,warn,12,33023,2_orange
10,prorocentrum_lima,100,400,100-400,alert,10,255,3_red
10,prorocentrum_lima,400,1000,"400-1,000",alert,12,255,3_red
10,prorocentrum_lima,1000,2000,"1,000-2,000",alert,14,255,3_red
10,prorocentrum_lima,2000,5000,"2,000-5,000",alert,17,255,3_red
10,prorocentrum_lima,5000,100000000,">=5,000",alert,20,255,3_red
3,pseudo_nitzschia_sp,0,1.00E-04,0,NA,12,8454016,0_green
3,pseudo_nitzschia_sp,1.00E-04,40000,"0-39,999",NA,12,65535,1_yellow
3,pseudo_nitzschia_sp,40000,50000,"40,000-49,999",warn,12,43775,2_orange
3,pseudo_nitzschia_sp,50000,100000,"50,000-100,000",alert,10,255,3_red
3,pseudo_nitzschia_sp,100000,200000,"100,000-200,000",alert,12,255,3_red
3,pseudo_nitzschia_sp,200000,500000,"200,000-500,000",alert,14,255,3_red
3,pseudo_nitzschia_sp,500000,1000000,"500,000-1,000,000",alert,17,255,3_red
3,pseudo_nitzschia_sp,1000000,100000000,">=1,000,000",alert,20,255,3_red
